id_filme;title;data_lanc;budget;revenue;vote_average;vote_count;popularity;id_diretor
127585;X-Men: Days of Future Past;2014-05-15;250000000;747862775;7.5;6032;118.078691;9032.0
54138;Star Trek Into Darkness;2013-05-05;190000000;467365246;7.4;4418;78.291018;15344.0
81005;Jack the Giant Slayer;2013-02-27;195000000;197687603;5.5;2598;43.349855;9032.0
64682;The Great Gatsby;2013-05-10;105000000;351040419;7.3;3769;61.196071;6201.0
9543;Prince of Persia: The Sands of Time;2010-05-19;150000000;335154643;6.2;2317;62.169881;10723.0
68726;Pacific Rim;2013-07-11;180000000;407602906;6.7;4794;56.523205;10828.0
38356;Transformers: Dark of the Moon;2011-06-28;195000000;1123746996;6.1;3299;28.529607;865.0
217;Indiana Jones and the Kingdom of the Crystal Skull;2008-05-21;185000000;786636033;5.7;2495;75.674458;488.0
105864;The Good Dinosaur;2015-11-14;175000000;331926147;6.6;1736;51.692953;21198.0
62177;Brave;2012-06-21;185000000;538983207;6.7;4641;125.114374;59803.0
188927;Star Trek Beyond;2016-07-07;185000000;343471816;6.6;2568;65.352913;58189.0
10681;WALL·E;2008-06-22;180000000;521311860;7.8;6296;66.390712;7.0
5174;Rush Hour 3;2007-08-08;140000000;258022233;6.1;783;22.57178;11091.0
14161;2012;2009-10-10;200000000;769653595;5.6;4903;45.274225;6046.0
17979;A Christmas Carol;2009-11-04;200000000;325233863;6.6;1095;39.744242;24.0
76757;Jupiter Ascending;2015-02-04;176000003;183987723;5.2;2768;85.36908;9339.0
258489;The Legend of Tarzan;2016-06-29;180000000;356743061;5.5;2430;42.741719;11343.0
411;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;2005-12-07;180000000;748806957;6.7;2629;67.391328;5524.0
246655;X-Men: Apocalypse;2016-05-18;178000000;543934787;6.4;4721;139.272042;9032.0
155;The Dark Knight;2008-07-16;185000000;1004558444;8.2;12002;187.322927;525.0
14160;Up;2009-05-13;175000000;735099082;7.7;6870;92.201962;12890.0
15512;Monsters vs Aliens;2009-03-19;175000000;381509870;6.0;1423;36.167578;12080.0
1726;Iron Man;2008-04-30;140000000;585174222;7.4;8776;120.725053;15277.0
44826;Hugo;2011-11-22;170000000;185770160;7.0;2141;32.319043;1032.0
8487;Wild Wild West;1999-06-29;170000000;222104681;5.1;1020;40.748915;5174.0
1735;The Mummy: Tomb of the Dragon Emperor;2008-07-01;145000000;401128639;5.2;1387;60.034162;18878.0
297761;Suicide Squad;2016-08-02;175000000;745000000;5.9;7458;90.23792;19769.0
2698;Evan Almighty;2007-06-09;175000000;173000000;5.3;1151;27.082182;4499.0
137113;Edge of Tomorrow;2014-05-27;178000000;370541256;7.6;4858;79.456485;11694.0
9804;Waterworld;1995-07-28;175000000;264218220;5.9;992;44.640292;8300.0
14869;G.I. Joe: The Rise of Cobra;2009-08-04;175000000;302469017;5.6;1962;32.852443;7775.0
150540;Inside Out;2015-06-09;175000000;857611174;8.0;6560;128.655964;12890.0
278927;The Jungle Book;2016-04-07;175000000;966550600;6.7;2892;94.199316;15277.0
10138;Iron Man 2;2010-04-28;200000000;623933331;6.6;6849;77.300194;15277.0
58595;Snow White and the Huntsman;2012-05-30;170000000;396600000;5.8;3118;77.178973;228134.0
102651;Maleficent;2014-05-28;180000000;758539785;7.0;4496;110.620647;1032536.0
119450;Dawn of the Planet of the Apes;2014-06-26;170000000;710644566;7.3;4410;243.791743;32278.0
79698;The Lovers;2015-02-13;27000000;0;4.8;34;2.418535;8965.0
64686;47 Ronin;2013-12-06;175000000;150962475;5.9;1326;41.796339;239571.0
100402;Captain America: The Winter Soldier;2014-03-20;170000000;714766572;7.6;5764;72.225265;19271.0
10192;Shrek Forever After;2010-05-16;165000000;752600867;6.0;1959;44.041186;64151.0
158852;Tomorrowland;2015-05-19;190000000;209154322;6.2;2846;130.311355;7087.0
177572;Big Hero 6;2014-10-24;165000000;652105443;7.8;6135;203.73459;70238.0
82690;Wreck-It Ralph;2012-11-01;165000000;471222889;7.1;4570;62.341073;165787.0
5255;The Polar Express;2004-11-10;165000000;305875730;6.4;1474;47.323228;24.0
47933;Independence Day: Resurgence;2016-06-22;165000000;389681935;4.9;2491;48.775723;6046.0
10191;How to Train Your Dragon;2010-03-05;165000000;494878759;7.5;4227;67.263269;66193.0
296;Terminator 3: Rise of the Machines;2003-07-02;200000000;435000000;5.9;2143;69.405188;7213.0
118340;Guardians of the Galaxy;2014-07-30;170000000;773328629;7.9;9742;481.098624;15218.0
157336;Interstellar;2014-11-05;165000000;675120017;8.1;10867;724.247784;525.0
27205;Inception;2010-07-14;160000000;825532764;8.1;13752;167.58371;525.0
315011;Shin Godzilla;2016-07-29;15000000;77000000;6.5;143;9.476999;77921.0
49051;The Hobbit: An Unexpected Journey;2012-11-26;250000000;1021103568;7.0;8297;108.849621;108.0
9799;The Fast and the Furious;2001-06-22;38000000;207283925;6.6;3428;6.909942;18878.0
4922;The Curious Case of Benjamin Button;2008-11-24;150000000;333932083;7.3;3292;60.269279;7467.0
49538;X-Men: First Class;2011-05-24;160000000;353624124;7.1;5181;3.195174;957.0
131634;The Hunger Games: Mockingjay - Part 2;2015-11-18;160000000;653428261;6.6;3984;127.284427;10943.0
27022;The Sorcerer's Apprentice;2010-07-13;150000000;215283742;5.8;1470;35.580815;12962.0
503;Poseidon;2006-05-12;160000000;181674817;5.5;583;21.133748;5231.0
241259;Alice Through the Looking Glass;2016-05-25;170000000;299370084;6.5;1725;56.268916;26205.0
810;Shrek the Third;2007-05-17;160000000;798958165;6.0;2278;42.986467;12098.0
68735;Warcraft;2016-05-25;160000000;433677183;6.3;2268;63.148529;81850.0
87101;Terminator Genisys;2015-06-23;155000000;440603537;5.8;3631;202.042635;47005.0
10140;The Chronicles of Narnia: The Voyage of the Dawn Treader;2010-08-13;155000000;415686217;6.2;1514;49.661984;10781.0
676;Pearl Harbor;2001-05-21;140000000;449220945;6.6;1791;34.20669;865.0
1858;Transformers;2007-06-27;150000000;709709780;6.6;4040;25.468493;865.0
1966;Alexander;2004-11-21;155000000;167298192;5.6;927;39.019229;1152.0
675;Harry Potter and the Order of the Phoenix;2007-06-28;150000000;938212738;7.4;5494;78.144395;11343.0
674;Harry Potter and the Goblet of Fire;2005-11-05;150000000;895921036;7.5;5608;101.250416;10723.0
8960;Hancock;2008-07-01;150000000;624029371;6.2;2961;56.758411;36602.0
6479;I Am Legend;2007-12-14;150000000;585349010;6.9;4853;70.867401;10943.0
118;Charlie and the Chocolate Factory;2005-07-13;150000000;474968763;6.7;3624;53.905592;510.0
2062;Ratatouille;2007-06-22;150000000;623722818;7.5;4369;65.677399;7930.0
272;Batman Begins;2005-06-10;150000000;374218673;7.5;7359;115.040024;525.0
10527;Madagascar: Escape 2 Africa;2008-10-30;150000000;603900354;6.2;1810;44.141021;18863.0
18360;Night at the Museum: Battle of the Smithsonian;2009-05-20;150000000;413106170;5.9;1971;81.781591;17825.0
2080;X-Men Origins: Wolverine;2009-04-28;150000000;373062864;6.2;4021;5.954334;13079.0
605;The Matrix Revolutions;2003-11-05;150000000;424988211;6.4;3096;73.313918;9339.0
109445;Frozen;2013-11-27;150000000;1274219009;7.3;5295;165.125366;15774.0
604;The Matrix Reloaded;2003-05-15;150000000;738599701;6.7;3443;70.78591;9339.0
76338;Thor: The Dark World;2013-10-29;170000000;644571402;6.8;4755;99.499595;47005.0
76341;Mad Max: Fury Road;2015-05-13;150000000;378858340;7.2;9427;434.278564;20629.0
13448;Angels & Demons;2009-05-13;150000000;356613439;6.5;2129;67.447636;6159.0
10195;Thor;2011-04-21;150000000;449326618;6.6;6525;86.493424;11181.0
13053;Bolt;2008-11-21;150000000;309979994;6.3;1750;41.845878;70238.0
19585;G-Force;2009-07-21;150000000;292817841;5.1;510;26.710398;84851.0
57165;Wrath of the Titans;2012-03-27;150000000;301000000;5.5;1431;44.927635;66739.0
62213;Dark Shadows;2012-05-08;150000000;245527149;5.7;2320;50.306728;510.0
177677;Mission: Impossible - Rogue Nation;2015-07-23;150000000;682330139;7.1;3224;114.522237;9033.0
7978;The Wolfman;2010-02-11;150000000;0;5.5;549;21.214571;4945.0
5559;Bee Movie;2007-10-28;150000000;287594577;5.7;1171;29.332905;44113.0
49444;Kung Fu Panda 2;2011-05-25;150000000;665692281;6.7;1880;51.247321;142312.0
10196;The Last Airbender;2010-06-30;150000000;318502923;4.7;1151;33.769336;11614.0
956;Mission: Impossible III;2006-05-03;150000000;397850012;6.5;2028;63.079003;15344.0
117251;White House Down;2013-06-27;150000000;205366737;6.4;1891;39.004588;6046.0
50321;Mars Needs Moms;2011-03-09;150000000;38992758;5.5;199;12.362599;21879.0
11619;Flushed Away;2006-10-22;149000000;64459316;6.0;874;22.550135;33183.0
266647;Pan;2015-09-24;150000000;128388320;5.9;954;48.03528;36588.0
82703;Mr. Peabody & Sherman;2014-02-07;145000000;272912430;6.7;843;38.73494;18898.0
652;Troy;2004-05-13;175000000;497409852;6.9;2759;66.803149;5231.0
80321;Madagascar 3: Europe's Most Wanted;2012-06-06;145000000;746921274;6.4;1808;44.989192;12080.0
36669;Die Another Day;2002-11-17;140000000;431971116;5.8;1092;54.159392;7256.0
43074;Ghostbusters;2016-07-14;144000000;229147509;5.3;2142;66.21806;116805.0
95;Armageddon;1998-07-01;140000000;553799566;6.4;2482;58.485967;865.0
608;Men in Black II;2002-07-03;140000000;441818803;6.0;3114;91.332849;5174.0
2310;Beowulf;2007-11-05;70000000;195735876;5.5;841;35.601665;24.0
140300;Kung Fu Panda 3;2016-01-23;145000000;521170825;6.7;1603;56.747978;142312.0
56292;Mission: Impossible - Ghost Protocol;2011-12-07;145000000;694713380;6.8;3972;77.77477;7087.0
81188;Rise of the Guardians;2012-11-21;145000000;306941670;7.1;1922;61.788035;151007.0
7552;Fun with Dick and Jane;2005-12-21;100000000;202026112;5.9;627;25.159168;15002.0
616;The Last Samurai;2003-12-05;140000000;456758981;7.3;1895;52.341226;9181.0
147441;Exodus: Gods and Kings;2014-12-03;140000000;268031828;5.6;1921;101.599427;578.0
13475;Star Trek;2009-05-06;150000000;385680446;7.4;4518;73.616808;15344.0
557;Spider-Man;2002-05-01;139000000;821708551;6.8;5265;82.502566;7623.0
82702;How to Train Your Dragon 2;2014-06-12;145000000;609123048;7.6;3106;100.21391;69797.0
205584;Gods of Egypt;2016-02-25;140000000;150680864;5.3;1277;56.257249;21085.0
10048;Stealth;2005-07-28;135000000;76932943;4.9;331;17.88953;18878.0
13183;Watchmen;2009-03-05;130000000;185258983;7.0;2811;64.798873;15217.0
944;Lethal Weapon 4;1998-07-10;140000000;285444603;6.3;767;24.855701;7187.0
1927;Hulk;2003-06-19;137000000;245360480;5.3;1533;34.981698;1614.0
72559;G.I. Joe: Retaliation;2013-03-26;130000000;371876278;5.4;3025;59.325589;54507.0
7364;Sahara;2005-04-06;130000000;119269486;5.7;434;21.605568;52609.0
2114;Final Fantasy: The Spirits Within;2001-07-02;137000000;85131830;5.9;433;26.074908;21692.0
1771;Captain America: The First Avenger;2011-07-22;140000000;370569774;6.6;7047;74.506246;4945.0
36643;The World Is Not Enough;1999-11-08;135000000;361832400;6.0;862;39.604363;10781.0
8619;Master and Commander: The Far Side of the World;2003-11-14;150000000;212011111;6.9;790;36.973031;2690.0
50620;The Twilight Saga: Breaking Dawn - Part 2;2012-11-13;120000000;829000000;6.1;2553;99.687084;15557.0
65759;Happy Feet Two;2011-11-17;130000000;150406466;5.8;373;17.7735;20629.0
1724;The Incredible Hulk;2008-06-12;150000000;163712074;6.1;3021;62.898336;18865.0
267935;The BFG;2016-06-01;140000000;183345589;6.0;1000;44.19092;488.0
281957;The Revenant;2015-12-25;135000000;532950503;7.3;6396;100.635882;223.0
77950;Turbo;2013-07-11;135000000;282570682;6.1;1074;44.765377;94075.0
44896;Rango;2011-03-02;135000000;245724603;6.6;2051;29.91353;1704.0
270946;Penguins of Madagascar;2014-11-22;132000000;373552094;6.5;1346;84.366984;18863.0
2503;The Bourne Ultimatum;2007-08-03;70000000;442824138;7.3;2888;45.381501;25598.0
9502;Kung Fu Panda;2008-06-04;130000000;631744560;6.9;3145;84.689648;57741.0
102899;Ant-Man;2015-07-14;130000000;519311965;7.0;5880;120.09361;59026.0
101299;The Hunger Games: Catching Fire;2013-11-15;130000000;847423452;7.4;6495;76.310119;10943.0
228161;Home;2015-03-18;135000000;368871007;6.8;1519;63.473086;52870.0
74;War of the Worlds;2005-06-28;132000000;591739379;6.2;2322;48.572726;488.0
8961;Bad Boys II;2003-07-18;130000000;273339556;6.3;1564;38.068736;865.0
417859;Puss in Boots;2011-10-28;130000000;554987477;6.4;451;20.678787;12098.0
27576;Salt;2010-07-21;110000000;293329073;6.2;2093;48.829437;13015.0
86834;Noah;2014-03-20;125000000;362637473;5.6;2350;46.115758;6431.0
17578;The Adventures of Tintin;2011-10-25;130000000;371940071;6.7;2061;89.938296;488.0
673;Harry Potter and the Prisoner of Azkaban;2004-05-31;130000000;789804554;7.7;5877;79.679601;11218.0
6972;Australia;2008-11-18;130000000;49554002;6.3;694;28.840997;6201.0
82700;After Earth;2013-05-30;130000000;243843127;5.0;2532;42.840582;11614.0
10567;Dinosaur;2000-05-19;127500000;354248063;6.2;542;26.548594;65855.0
181533;Night at the Museum: Secret of the Tomb;2014-12-17;127000000;349424282;6.1;1851;115.597753;17825.0
38055;Megamind;2010-10-28;130000000;321887208;6.7;1918;68.757242;18864.0
671;Harry Potter and the Philosopher's Stone;2001-11-16;125000000;976475550;7.5;7006;109.984351;10965.0
49524;R.I.P.D.;2013-07-18;130000000;61648500;5.4;1260;39.448066;57270.0
22;Pirates of the Caribbean: The Curse of the Black Pearl;2003-07-09;140000000;655011224;7.5;6985;271.972889;1704.0
131631;The Hunger Games: Mockingjay - Part 1;2014-11-18;125000000;752100229;6.6;5584;206.227151;10943.0
591;The Da Vinci Code;2006-05-17;125000000;767820459;6.5;2704;45.313197;6159.0
172385;Rio 2;2014-03-19;103000000;500188435;6.3;978;42.40024;5714.0
36658;X2;2003-04-24;110000000;407711549;6.8;3506;2.871739;9032.0
51497;Fast Five;2011-04-20;125000000;626137675;7.1;2438;7.255718;58189.0
58574;Sherlock Holmes: A Game of Shadows;2011-11-22;125000000;334615000;7.0;3886;81.499621;956.0
18823;Clash of the Titans;2010-04-01;125000000;232713139;5.6;2233;47.686442;18865.0
861;Total Recall;1990-06-01;65000000;261317921;7.1;1710;43.129703;10491.0
1911;The 13th Warrior;1999-08-27;160000000;61698899;6.4;510;27.220157;1090.0
49040;The Bourne Legacy;2012-08-08;130000000;276572938;6.0;2651;90.33681;19242.0
415;Batman & Robin;1997-06-20;125000000;238207122;4.2;1418;50.073575;5572.0
8871;How the Grinch Stole Christmas;2000-11-17;123000000;345141403;6.2;1386;45.419668;6159.0
435;The Day After Tomorrow;2004-05-26;125000000;544272402;6.2;2392;41.380094;6046.0
955;Mission: Impossible II;2000-05-24;125000000;546388105;5.9;1928;54.931334;11401.0
2133;The Perfect Storm;2000-03-15;120000000;325756637;6.2;597;25.752118;5231.0
1979;Fantastic 4: Rise of the Silver Surfer;2007-06-13;130000000;289047763;5.4;2589;60.810723;20400.0
87827;Life of Pi;2012-11-20;120000000;609016565;7.2;5797;51.328145;1614.0
1250;Ghost Rider;2007-02-16;110000000;228738393;5.2;1712;46.834704;16837.0
324668;Jason Bourne;2016-07-27;120000000;415484914;5.9;2341;62.641286;25598.0
9471;Charlie's Angels: Full Throttle;2003-06-27;120000000;259175788;5.2;914;33.616115;36425.0
70981;Prometheus;2012-05-30;130000000;403170142;6.3;5080;68.889395;578.0
10996;Stuart Little 2;2002-07-19;120000000;169956806;5.4;613;27.990284;18898.0
68724;Elysium;2013-08-07;115000000;286140700;6.4;3439;67.33767;82194.0
2789;The Chronicles of Riddick;2004-06-11;105000000;115772733;6.3;1570;27.835436;28239.0
97020;RoboCop;2014-01-30;120000000;242688965;5.7;2342;66.757869;52576.0
7459;Speed Racer;2008-05-09;120000000;93945766;5.7;354;17.060695;9339.0
42888;How Do You Know;2010-12-17;120000000;48668907;4.9;223;11.137655;3388.0
37834;Knight and Day;2010-06-15;117000000;261930431;5.9;1547;44.906918;366.0
75612;Oblivion;2013-04-10;120000000;286168572;6.4;4800;67.698004;86270.0
1895;Star Wars: Episode III - Revenge of the Sith;2005-05-17;113000000;850000000;7.1;4116;44.108427;1.0
1894;Star Wars: Episode II - Attack of the Clones;2002-05-15;120000000;649398328;6.4;3992;43.987061;1.0
585;Monsters, Inc.;2001-11-01;115000000;562816256;7.5;5996;106.815545;12890.0
76170;The Wolverine;2013-07-23;120000000;415440673;6.3;4053;15.953444;366.0
1893;Star Wars: Episode I - The Phantom Menace;1999-05-19;115000000;924317558;6.3;4432;54.035265;1.0
49519;The Croods;2013-03-20;135000000;585178928;6.8;2399;64.183321;66193.0
2395;Asterix at the Olympic Games;2008-01-13;97250400;132900000;5.0;471;20.344364;20674.0
12100;Windtalkers;2002-06-14;115000000;77628265;5.8;341;18.714197;11401.0
290595;The Huntsman: Winter's War;2016-04-06;115000000;164602163;6.0;1523;60.467984;1454884.0
98566;Teenage Mutant Ninja Turtles;2014-08-07;125000000;477200000;5.8;2636;143.350376;66739.0
49047;Gravity;2013-09-27;105000000;716392705;7.3;5751;110.153618;11218.0
9619;Dante's Peak;1997-02-07;116000000;178127760;5.7;428;16.90444;21370.0
308531;Teenage Mutant Ninja Turtles: Out of the Shadows;2016-06-01;135000000;245623848;5.8;963;39.873791;1101410.0
166424;Fantastic Four;2015-08-05;120000000;167977596;4.4;2278;38.126095;934803.0
1593;Night at the Museum;2006-10-20;110000000;574480841;6.3;2862;48.780039;17825.0
254128;San Andreas;2015-05-27;110000000;470490832;6.0;2968;100.412364;132876.0
714;Tomorrow Never Dies;1997-12-11;110000000;333011068;6.0;925;42.887121;1724.0
2024;The Patriot;2000-06-28;110000000;215294342;6.8;1099;23.657284;6046.0
163;Ocean's Twelve;2004-12-09;110000000;362744280;6.4;2124;76.840712;1884.0
787;Mr. & Mrs. Smith;2005-06-07;110000000;478207520;6.5;2965;44.635452;11694.0
262500;Insurgent;2015-03-18;110000000;295238201;6.2;3829;103.718387;57270.0
2567;The Aviator;2004-12-17;116000000;102000000;7.0;1489;45.616098;1032.0
38745;Gulliver's Travels;2010-12-25;112000000;237382724;4.9;621;22.845143;65630.0
40805;The Green Hornet;2011-01-12;120000000;227817248;5.5;1251;31.703608;201.0
53182;300: Rise of an Empire;2014-03-05;110000000;337580051;6.1;2397;71.510596;78914.0
41513;The Smurfs;2011-07-29;110000000;563749323;5.5;1179;36.65422;1215.0
13700;Home on the Range;2004-04-02;110000000;103951461;5.7;389;19.625972;70287.0
262504;Allegiant;2016-03-09;110000000;179246868;5.9;1998;86.105615;57270.0
39254;Real Steel;2011-09-28;110000000;299268508;6.6;2692;37.195046;17825.0
77931;The Smurfs 2;2013-07-30;105000000;347434178;5.5;695;32.473628;1215.0
1639;Speed 2: Cruise Control;1997-06-13;160000000;164508066;4.1;434;23.336875;2209.0
80274;Ender's Game;2013-10-23;110000000;125537191;6.6;2303;45.94834;13079.0
1571;Live Free or Die Hard;2007-06-20;110000000;383531464;6.4;2089;48.93337;3950.0
120;The Lord of the Rings: The Fellowship of the Ring;2001-12-18;93000000;871368364;8.0;8705;138.049577;108.0
10204;Around the World in 80 Days;2004-06-16;110000000;72178895;5.7;672;22.643776;57370.0
8489;Ali;2001-12-11;107000000;87713825;6.7;447;18.866672;638.0
10588;The Cat in the Hat;2003-11-21;0;0;4.9;366;18.251129;5133.0
2048;I, Robot;2004-07-15;120000000;347234916;6.7;3793;95.914473;21085.0
1495;Kingdom of Heaven;2005-05-03;130000000;211643158;6.6;1157;44.490453;578.0
10137;Stuart Little;1999-12-17;133000000;300135367;5.8;959;30.475297;18898.0
10198;The Princess and the Frog;2009-12-08;105000000;267045765;6.7;1247;62.479574;15810.0
286217;The Martian;2015-09-30;108000000;630161890;7.6;7268;167.93287;578.0
1635;The Island;2005-07-20;126000000;162949164;6.5;1770;37.68056;865.0
24113;Town & Country;2001-04-27;90000000;10372291;3.7;16;1.004579;36804.0
9679;Gone in Sixty Seconds;2000-06-09;90000000;237202299;6.1;1485;52.995628;58498.0
98;Gladiator;2000-05-01;103000000;457640427;7.9;5439;95.301296;578.0
180;Minority Report;2002-06-20;102000000;358372926;7.1;2608;65.948959;488.0
672;Harry Potter and the Chamber of Secrets;2002-11-13;100000000;876688482;7.4;5815;132.397737;10965.0
36557;Casino Royale;2006-11-14;150000000;599045960;7.3;3855;88.935165;10702.0
869;Planet of the Apes;2001-07-25;100000000;362211740;5.6;1243;51.188633;510.0
280;Terminator 2: Judgment Day;1991-07-01;100000000;520000000;7.7;4185;101.74155;2710.0
11322;Public Enemies;2009-07-01;80000000;214104620;6.5;1344;33.691694;638.0
4982;American Gangster;2007-11-02;100000000;266465037;7.4;1502;42.361215;578.0
36955;True Lies;1994-07-14;115000000;378882411;6.8;1116;38.729418;2710.0
18487;The Taking of Pelham 1 2 3;2009-06-11;100000000;150166126;6.2;954;40.597856;893.0
39451;Little Fockers;2010-12-21;100000000;310650585;5.4;1060;32.389353;3289.0
27581;The Other Guys;2010-08-06;100000000;170432927;6.1;1383;24.399642;55710.0
9268;Eraser;1996-06-21;100000000;242295562;5.6;543;24.507987;26713.0
68718;Django Unchained;2012-12-25;100000000;425368238;7.8;10099;82.121691;138.0
10545;The Hunchback of Notre Dame;1996-06-21;100000000;100138851;6.8;1129;46.727941;62047.0
11688;The Emperor's New Groove;2000-12-09;100000000;169327687;7.2;1490;51.113717;61411.0
76163;The Expendables 2;2012-08-08;100000000;312573423;6.1;2896;53.732892;12786.0
2059;National Treasure;2004-11-19;100000000;347451894;6.4;1926;58.849256;12962.0
2486;Eragon;2006-12-14;100000000;249288105;4.9;967;30.863434;25453.0
16523;Where the Wild Things Are;2009-10-16;100000000;100086793;6.4;572;31.586215;5953.0
116711;Epic;2013-05-15;100000000;268426634;6.4;1121;36.711378;5713.0
37710;The Tourist;2010-12-08;100000000;278731369;6.0;1699;41.426678;8193.0
9946;End of Days;1999-11-24;100000000;211989043;5.5;482;20.652943;37710.0
1372;Blood Diamond;2006-12-07;100000000;170877916;7.3;2281;52.792678;9181.0
106646;The Wolf of Wall Street;2013-12-25;100000000;392000694;7.9;6571;95.007934;1032.0
414;Batman Forever;1995-05-31;100000000;336529144;5.2;1498;48.205606;5572.0
563;Starship Troopers;1997-11-06;105000000;121214377;6.7;1560;58.782359;10491.0
83542;Cloud Atlas;2012-10-26;102000000;130482868;6.6;2977;73.872343;1071.0
41216;Legend of the Guardians: The Owls of Ga'Hoole;2010-07-10;80000000;140073390;6.5;703;37.321848;15217.0
314;Catwoman;2004-07-22;100000000;82102379;4.2;808;32.271938;4586.0
184315;Hercules;2014-07-23;100000000;243400000;5.6;1680;76.842247;11091.0
9016;Treasure Planet;2002-11-26;140000000;109578115;7.2;948;38.924136;15810.0
18162;Land of the Lost;2009-06-05;100000000;68688831;5.3;381;19.38841;11887.0
138103;The Expendables 3;2014-08-04;90000000;206172544;6.1;1795;61.025639;143059.0
257088;Point Break;2015-12-03;105000000;133718711;5.5;783;33.507289;21673.0
10214;Son of the Mask;2005-02-18;84000000;0;3.6;338;17.815595;64191.0
205775;In the Heart of the Sea;2015-11-20;100000000;93820758;6.5;1276;50.767332;6159.0
11692;The Adventures of Pluto Nash;2002-08-15;100000000;7103973;4.4;142;12.092241;33485.0
22972;Green Zone;2010-03-11;100000000;94882889;6.4;717;30.254021;25598.0
